operation,run_time_ms
detach_,0.00307839997112751
zero_,0.013283200562000275
detach_,0.0027327999472618104
zero_,0.012120651696815542
detach_,0.002595200017094612
zero_,0.0130048006772995
detach_,0.0026720000430941583
zero_,0.012940800189971924
detach_,0.0025599999353289604
zero_,0.011608336196600665
detach_,0.0026464000344276427
zero_,0.012796799838542938
detach_,0.0025599999353289604
zero_,0.012892800569534301
detach_,0.0018688000738620758
zero_,0.015248470906630581
detach_,0.002662399969995022
zero_,0.012902399897575379
detach_,0.0025599999353289604
zero_,0.012902399897575379
detach_,0.0025599999353289604
zero_,0.012838399410247803
to,0.003903999924659729
full,0.019657599925994872
conv2d,9.508922525524786e-05
leaky_relu,0.2454248660351827
conv2d,0.0012202659213565114
__add__,0.002049
batch_norm,0.3935332009010315
leaky_relu,0.12343851691474966
conv2d,0.0009428951104458747
__add__,0.002048
batch_norm,0.13192906964909884
leaky_relu,0.06501333594723162
conv2d,0.001791581800455722
__add__,0.002048
batch_norm,0.14299907813827142
leaky_relu,0.049274477884262924
conv2d,4.012949150696821e-05
sigmoid,0.03499199976730347
view,0.02295359969139099
squeeze,0.017075200378894803
binary_cross_entropy,0.1342144012451172
numel,0.002163200080394745
ones_like,0.02590720057487488
randn,0.004096
conv_transpose2d,0.9398210084302434
__add__,0.002048
batch_norm,0.14184678439314535
relu,0.04785013552303727
conv_transpose2d,4.028866025953486
__add__,0.002048
batch_norm,0.1306903538331224
relu,0.06399820221417392
conv_transpose2d,2.728557009834837
__add__,0.002016
batch_norm,0.38870079517364503
relu,0.12486870365358593
conv_transpose2d,2.870878632055548
__add__,0.002048
batch_norm,0.7266826111297607
relu,0.24683165358592693
conv_transpose2d,0.8296009105477752
tanh,0.05108707044730748
fill_,0.01342719942331314
detach,0.0033792000263929366
conv2d,9.430906381679632e-05
leaky_relu,0.24542557510148852
conv2d,0.0011692469097413852
__add__,0.002049
batch_norm,0.3854396078948975
leaky_relu,0.12333094165779547
conv2d,0.0009415828095346004
__add__,0.002048
batch_norm,0.13264906991612765
leaky_relu,0.0649109351675075
conv2d,0.0018120391926343476
__add__,0.002048
batch_norm,0.1455849960168547
leaky_relu,0.04957879254572124
conv2d,4.0557253711153396e-05
sigmoid,0.0343296014289856
view,0.021094399690628055
squeeze,0.01536320000886917
binary_cross_entropy,0.1254687964916229
numel,0.002160000056028366
ones_like,0.022732800245285033
mul_,0.002048
add_,0.01478399932384491
mul_,0.019491200149059296
addcmul_,0.01634240001440048
sqrt,0.021059200167655945
__truediv__,0.02539519965648651
add_,0.021196800470352172
addcdiv_,0.016281600296497344
mul_,0.018373135553061234
add_,0.01369473569220232
mul_,0.018465644580933978
addcmul_,0.014820845878643662
sqrt,0.02007556172704503
__truediv__,0.025461136625468003
add_,0.020289935992418993
addcdiv_,0.014884819743855878
mul_,0.019257600605487823
add_,0.014761599898338317
mul_,0.019049599766731262
addcmul_,0.01618880033493042
sqrt,0.020582400262355804
__truediv__,0.024486400187015533
add_,0.020960000157356263
addcdiv_,0.01624000072479248
mul_,0.018966400623321535
add_,0.014947199821472168
mul_,0.019350400567054747
addcmul_,0.016252799332141875
sqrt,0.020582400262355804
__truediv__,0.024268800020217897
add_,0.02109439969062805
addcdiv_,0.016281600296497344
mul_,0.0177984636233624
add_,0.013674309824364756
mul_,0.016957154854221498
addcmul_,0.01731403943155712
sqrt,0.01691460558282184
__truediv__,0.021214510577083116
add_,0.01865315435735718
addcdiv_,0.01731403943155712
mul_,0.01945600062608719
add_,0.014847999811172486
mul_,0.018972800672054292
addcmul_,0.016281600296497344
sqrt,0.020803199708461763
__truediv__,0.026396799087524413
add_,0.021065600216388702
addcdiv_,0.016383999586105348
mul_,0.019254399836063384
add_,0.014851200580596923
mul_,0.019254399836063384
addcmul_,0.01759359985589981
sqrt,0.02054080069065094
__truediv__,0.02459519952535629
add_,0.02109760046005249
addcdiv_,0.016380800306797026
mul_,0.03197179972936401
add_,0.047220270635994585
mul_,0.03192641948579161
addcmul_,0.06242336129905278
sqrt,0.03194910960757781
__truediv__,0.03194910960757781
add_,0.03197971571866811
addcdiv_,0.062445342354533154
mul_,0.014361600577831268
add_,0.014950400590896607
mul_,0.01935359984636307
addcmul_,0.016096000373363496
sqrt,0.02109439969062805
__truediv__,0.02620159983634949
add_,0.021132799983024596
addcdiv_,0.016448000073432924
mul_,0.0191648006439209
add_,0.014819200336933135
mul_,0.019465599954128266
addcmul_,0.016383999586105348
sqrt,0.020351999998092653
__truediv__,0.024191999435424806
add_,0.021408000588417055
addcdiv_,0.016179199516773223
mul_,0.01955839991569519
add_,0.014847999811172486
mul_,0.019865599274635316
addcmul_,0.016179199516773223
sqrt,0.02088959962129593
__truediv__,0.025488001108169556
add_,0.02181120067834854
addcdiv_,0.017510400712490083
detach_,0.0027583999559283256
zero_,0.01060835568515793
detach_,0.002643200010061264
zero_,0.013302400708198547
detach_,0.0025984000414609907
zero_,0.013411200046539307
detach_,0.0018432000651955605
zero_,0.01493098663076819
detach_,0.002659199945628643
zero_,0.013414399325847625
detach_,0.0026559999212622644
zero_,0.014774399995803832
detach_,0.002643200010061264
zero_,0.012120335624872912
detach_,0.0026496000587940215
zero_,0.013516800105571746
detach_,0.0025696000084280968
zero_,0.013593600690364837
detach_,0.0025599999353289604
zero_,0.012908167802422875
detach_,0.002582399919629097
zero_,0.013324800133705138
detach_,0.002662399969995022
zero_,0.013500800728797913
detach_,0.0025599999353289604
zero_,0.013340799510478974
fill_,0.013510400056838989
conv2d,0.0001830779850523507
leaky_relu,0.2455216794581691
conv2d,0.001210007176458916
__add__,0.002049
batch_norm,0.397327
leaky_relu,0.12416460081190799
conv2d,0.0009484874929633777
__add__,0.002048
batch_norm,0.12908363894030273
leaky_relu,0.06408174142431923
conv2d,0.0018231347383218224
__add__,0.002048
batch_norm,0.1428976255743752
leaky_relu,0.05004919389240474
conv2d,3.974660676029457e-05
sigmoid,0.03354880144405365
view,0.020896000415086748
